crsCode,subArea,year,crsNum,subName,grade,prName,crsTime,room
AAH101-01,기초,3,AAH101-01,한국미술사개론,3,송은석,금1.5-4.0,A319
AAH103-01,기초,2,AAH103-01,고고미술사학코너스톤디자인,2,한정호,화5.0-6.5,A110
AAH205-01,기초,3,AAH205-01,서양미술사,3,김지현,월5.0-7.5,A319
AAH208-01,기초,2,AAH208-01,고고학실습,2,심현철,금2.0-5.5,A110
AAH209-01,기초,3,AAH209-01,고고학연구법,3,강현숙,화2.0-4.5,A110
AAH210-01,기초,3,AAH210-01,문화유산의이해-유물,3,강동석,목2.0-4.5,A319
AAH211-01,기초,3,AAH211-01,중국미술사,3,송은석,수1.5-4.0,A319
ACT203-01,기초,3,ACT203-01,재무회계2,3,김현아,월2.5-5.0,B403
ACT203-02,기초,3,ACT203-02,재무회계2,3,김현아,화4.0-6.5,B303
AME102-01,기초,3,AME102-01,자동차공학개론,3,정연종,수2.0-4.5,E301
APO103-01,기초,3,APO103-01,경찰학개론,3,김성환,"월7.0-8.0,수1.0-2.0","B202,B202"
APO103-02,기초,3,APO103-02,경찰학개론,3,김성환,"월8.5-9.5,목4.0-5.0","B202,B202"
APO103-03,기초,3,APO103-03,경찰학개론,3,김성환,"화1.0-2.0,목5.5-6.5","B202,B202"
APO104-01,기초,3,APO104-01,국가정책의이해,3,정윤길,목1.0-3.5,B101
APO104-02,기초,3,APO104-02,국가정책의이해,3,이준호,"월2.5-3.5,수2.5-3.5","B206,B206"
APO105-01,기초,1,APO105-01,무술1,1,이창근,월1.0-2.5,G115
APO212-01,기초,3,APO212-01,공공관리론,3,천지은,목4.0-6.5,B206
APO213-01,기초,3,APO213-01,행정경찰통계론,3,허만용,화1.0-3.5,B206
APO214-01,기초,3,APO214-01,비영리조직론,3,구정대,금4.0-6.5,B202
APO215-01,기초,3,APO215-01,리더십이론과실제,3,구정대,금7.0-9.5,B202
APO216-01,기초,3,APO216-01,행정경찰인사관리론,3,이준호,"수4.0-5.0,목1.0-2.0","B302,B302"
APO217-01,기초,3,APO217-01,범죄학,3,곽형곤,화1.0-3.5,B101
APO217-02,기초,3,APO217-02,범죄학,3,곽형곤,수1.0-3.5,B101
APO217-03,기초,3,APO217-03,범죄학,3,곽형곤,금1.0-3.5,B101
APO218-01,기초,3,APO218-01,외교정책과국제안보,3,진유정,수4.0-6.5,B206
APO219-01,기초,3,APO219-01,정치리더십론,3,황의서,"월5.5-6.5,화5.5-6.5","B202,B202"
APO220-01,기초,3,APO220-01,경찰보안론,3,권오윤,화4.0-6.5,B310
APO221-01,기초,1,APO221-01,무술2,1,이창근,월3.0-4.5,G115
AST101-01,기초,3,AST101-01,경제경영의이해,3,김지용,월7.0-9.5,B304
AST102-01,기초,3,AST102-01,글로벌무역의이해,3,김미정,"화2.5-3.5,목2.5-3.5","B304,B304"
AST103-01,기초,3,AST103-01,항공서비스의이해,3,고민환,"수2.5-3.5,목1.0-2.0","B304,B304"
BCC102-01,기초,3,BCC102-01,보육학개론,3,윤성원,목6.0-8.5,D409
BCC103-01,기초,1,BCC103-01,아동국악실습,1,장주영,월2.0-3.5,D903
BCC104-01,기초,1,BCC104-01,불교아동보육학전공진로탐색,1,김종두,목9.0-9.5,D409
BCC205-01,기초,3,BCC205-01,보육과정,3,이은영,월4.0-6.5,D409
BCC206-01,기초,3,BCC206-01,아동미술,3,이수경,금2.0-7.5,D409
BCC207-01,기초,3,BCC207-01,아동안전관리,3,민희정,"수5.0-6.0,목5.0-6.0","D409,K301"
BCC208-01,기초,2,BCC208-01,불교어린이법회지도법,2,우순기,월1.0-3.0,D409
BDG102-01,기초,2,BDG102-01,기초시각디자인2,2,유우진,목2.0-4.5,J301
BDG102-02,기초,2,BDG102-02,기초시각디자인2,2,이수연,목6.0-8.5,J306
BDG104-01,기초,2,BDG104-01,기초컴퓨터그래픽2,2,이수연,수2.0-4.5,J306
BDG202-01,기초,2,BDG202-01,응용시각디자인2,2,문석진,화2.0-4.5,J306
BDG204-01,기초,2,BDG204-01,컴퓨터그래픽2,2,김소희,월6.0-8.5,J306
BDG206-01,기초,2,BDG206-01,일러스트레이션표현기법2,2,유우진,수6.0-8.5,J302
BEU105-01,기초,2,BEU105-01,베이직뷰티코웍2,2,김연아,목4.0-5.5,Y502
BEU106-01,기초,3,BEU106-01,공중보건학,3,김연아,"수4.0-5.0,금1.0-2.0","Y501,Y501"
BEU107-01,기초,2,BEU107-01,뷰티크리에이티브,2,김연아,화4.0-5.5,B203
BUC102-01,기초,3,BUC102-01,불교신행과문화,3,김영진,수1.0-3.5,D409
BUD104-01,기초,3,BUD104-01,승가수행학,3,정준기,화1.0-3.5,D408
BUD105-01,기초,3,BUD105-01,초기불전,3,안양규,"월2.5-3.5,화2.5-3.5","D401,D401"
BUD209-01,기초,3,BUD209-01,대승불교개론,3,한지연,목2.5-5.0,D402
BUD211-01,기초,3,BUD211-01,불교영어입문,3,안양규,"화5.5-6.5,수5.5-6.5","D402,D408"
BUD212-01,기초,3,BUD212-01,선문학특강,3,정준기,"월5.0-6.0,수2.5-3.5","D403,D403"
BUD214-01,기초,3,BUD214-01,종전강독,3,노계왕,목7.0-9.5,D402
BUD216-01,기초,3,BUD216-01,종교와과학,3,이충환,수5.0-7.5,B104
BUD217-01,기초,3,BUD217-01,중국선종사,3,정준기,"월7.0-8.0,목1.0-2.0","D403,D403"
BUM102-01,기초,2,BUM102-01,기초불교회화2,2,정병국,화2.0-4.5,A101
BUM110-01,기초,2,BUM110-01,전통불화채색실습,2,박명순,수2.0-4.5,A101
BUM202-01,기초,2,BUM202-01,불교회화2,2,조해종,수2.0-4.5,A102
BUM214-01,기초,2,BUM214-01,단청실습2,2,고승희,화2.0-4.5,A102
BUM216-01,기초,2,BUM216-01,불교조형디자인2,2,이종억,월2.0-4.5,A102
BUS101-01,기초,3,BUS101-01,경영학원론,3,찰스아서롭,월4.0-6.5,B401
BUS101-02,기초,3,BUS101-02,경영학원론,3,송인숙,월1.0-3.5,B303
BUS101-03,기초,3,BUS101-03,경영학원론,3,이정미,월7.0-9.5,B407
BUS102-01,기초,3,BUS102-01,회계원리,3,오종문,"화1.0-2.0,목2.5-3.5","B303,B404"
BUS102-02,기초,3,BUS102-02,회계원리,3,배한수,"화2.5-3.5,수2.5-3.5","B407,B303"
BUS102-03,기초,3,BUS102-03,회계원리,3,배한수,"화4.0-5.0,수4.0-5.0","B304,B303"
BUS103-01,기초,3,BUS103-01,정보관리론,3,김의창,수1.0-3.5,B306
BUS103-02,기초,3,BUS103-02,정보관리론,3,송유진,화4.0-6.5,B306
BUS103-03,기초,3,BUS103-03,정보관리론,3,권정일,수7.0-9.5,B403
BUS206-01,기초,3,BUS206-01,재무관리,3,안영규,"화5.5-6.5,목5.5-6.5","B307,B407"
BUS206-02,기초,3,BUS206-02,재무관리,3,안영규,목7.0-9.5,B407
BUS207-01,기초,3,BUS207-01,경영과학,3,이영찬,수7.0-9.5,B201
BUS207-02,기초,3,BUS207-02,경영과학,3,김정배,금7.0-9.5,B303
BUS208-01,기초,3,BUS208-01,원가회계,3,정재진,"화2.5-3.5,목2.5-3.5","B401,B401"
BUS208-02,기초,3,BUS208-02,원가회계,3,백정한,"월5.5-6.5,수4.0-5.0","B407,B407"
BUS209-01,기초,3,BUS209-01,경영정보학개론,3,문태수,수1.0-3.5,B401
BUS209-02,기초,3,BUS209-02,경영정보학개론,3,문태수,화1.0-3.5,B306
CCE102-01,기초,3,CCE102-01,인공지능프로그래밍실습2,3,반상우,"수2.0-3.5,목8.0-9.5","E303,E303"
CCE102-02,기초,3,CCE102-02,인공지능프로그래밍실습2,3,반상우,"수7.5-9.0,목6.0-7.5","E303,E303"
CCE112-01,기초,3,CCE112-01,전자통신기초설계,3,남윤석,월1.0-3.5,E503
CCE112-02,기초,3,CCE112-02,전자통신기초설계,3,남윤석,월5.0-7.5,E503
CCE132-01,기초,3,CCE132-01,에너지전기공학기초2,3,정창열,"월7.0-8.0,수6.0-7.0","E102,E102"
CCE132-02,기초,3,CCE132-02,에너지전기공학기초2,3,정창열,"월8.5-9.5,수7.5-8.5","E102,E102"
CCE151-01,기초,3,CCE151-01,정역학,3,홍성호,"화1.0-2.0,목1.0-2.0","E203,E203"
CCE202-01,기초,3,CCE202-01,공학프로그래밍,3,정환목,금5.0-8.5,E503
CCE202-02,기초,3,CCE202-02,공학프로그래밍,3,박종운,수5.5-9.0,E101
CCE202-03,기초,3,CCE202-03,공학프로그래밍,3,한성익,"화2.0-3.5,수5.0-6.5","A205,A205"
CCE202-04,기초,3,CCE202-04,공학프로그래밍,3,김종원,금5.0-8.5,E303
CCE216-01,기초,3,CCE216-01,신호및시스템,3,강법주,"화1.0-2.0,목3.0-4.0","E302,E302"
